,Unnamed: 0,state,district,block,panchayat,village,stateCode,districtCode,blockCode,panchayatCode,locationType,name,slug,finyear,value,textValue,lastUpdateDate
78,2678,ANDHRA PRADESH,CHITTOOR,Karvetinagar,,,2,210,210046.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,403163.0,403163.0,2019-10-18
79,2826,ANDHRA PRADESH,CHITTOOR,Kuppam,,,2,210,210066.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,454453.0,454453.0,2019-10-18
80,2974,ANDHRA PRADESH,CHITTOOR,Kurabalakota,,,2,210,210006.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,144953.0,144953.0,2019-10-18
81,3122,ANDHRA PRADESH,CHITTOOR,Madanapalle,,,2,210,210035.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,141902.0,141902.0,2019-10-18
82,3270,ANDHRA PRADESH,CHITTOOR,Mulakalacheruvu,,,2,210,210003.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,442727.0,442727.0,2019-10-18
83,3418,ANDHRA PRADESH,CHITTOOR,Nagalapuram,,,2,210,210019.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,376078.0,376078.0,2019-10-18
84,3566,ANDHRA PRADESH,CHITTOOR,Nagari,,,2,210,210045.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,268428.0,268428.0,2019-10-18
85,3714,ANDHRA PRADESH,CHITTOOR,Nimmanapalle,,,2,210,210034.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,127260.0,127260.0,2019-10-18
86,3862,ANDHRA PRADESH,CHITTOOR,Nindra,,,2,210,210022.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,244169.0,244169.0,2019-10-18
87,4010,ANDHRA PRADESH,CHITTOOR,Pakala,,,2,210,210042.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,289992.0,289992.0,2019-10-18
88,4158,ANDHRA PRADESH,CHITTOOR,Palamaner,,,2,210,210058.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,157303.0,157303.0,2019-10-18
89,4306,ANDHRA PRADESH,CHITTOOR,Palasamudram,,,2,210,210048.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,175906.0,175906.0,2019-10-18
90,4454,ANDHRA PRADESH,CHITTOOR,Peddamandyam,,,2,210,210001.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,397157.0,397157.0,2019-10-18
91,4602,ANDHRA PRADESH,CHITTOOR,Peddathippasamudram,,,2,210,210004.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,266260.0,266260.0,2019-10-18
